Date, Open, High, Low, Close
07/12/24,5.342,5.36,5.334,5.334
07/11/24,5.368,5.389,5.342,5.342
07/10/24,5.358,5.379,5.358,5.368
07/09/24,5.359,5.363,5.332,5.358
07/08/24,5.36,5.375,5.354,5.359
07/05/24,5.373,5.381,5.355,5.36
07/03/24,5.357,5.389,5.352,5.373
07/02/24,5.359,5.378,5.342,5.357
07/01/24,5.371,5.371,5.359,5.359
06/28/24,5.373,5.381,5.355,5.371
06/27/24,5.374,5.399,5.368,5.373
06/26/24,5.353,5.389,5.353,5.374
06/25/24,5.354,5.389,5.342,5.353
06/24/24,5.36,5.385,5.344,5.354
06/21/24,5.373,5.391,5.36,5.36
06/20/24,5.384,5.394,5.368,5.373
06/18/24,5.385,5.399,5.368,5.384
06/17/24,5.381,5.391,5.38,5.385
06/14/24,5.383,5.397,5.376,5.381
06/13/24,5.389,5.399,5.373,5.383
06/12/24,5.379,5.4,5.368,5.389
06/11/24,5.37,5.379,5.14,5.379
06/10/24,5.376,5.396,5.365,5.37
06/07/24,5.378,5.391,5.36,5.376
06/06/24,5.379,5.399,5.373,5.378
06/05/24,5.379,5.405,5.363,5.379
06/04/24,5.38,5.389,5.363,5.379
06/03/24,5.386,5.406,5.375,5.38
05/31/24,5.389,5.407,5.381,5.386
05/30/24,5.389,5.404,5.389,5.389
05/29/24,5.385,5.405,5.374,5.389
05/28/24,5.385,5.405,5.379,5.385
05/26/24,5.38,5.385,5.38,5.385
05/24/24,5.383,5.396,5.38,5.38
05/23/24,5.384,5.399,5.378,5.383
05/22/24,5.374,5.4,5.368,5.384
05/21/24,5.38,5.4,5.363,5.374
05/20/24,5.376,5.396,5.375,5.38
05/17/24,5.383,5.397,5.371,5.376
05/16/24,5.379,5.399,5.378,5.383
05/15/24,5.368,5.395,5.368,5.379
05/14/24,5.375,5.389,5.358,5.368
05/13/24,5.381,5.396,5.375,5.375
05/10/24,5.378,5.407,5.376,5.381
05/09/24,5.384,5.42,5.378,5.378
05/08/24,5.384,5.4,5.368,5.384
05/07/24,5.385,5.405,5.374,5.384
05/06/24,5.386,5.396,5.38,5.385
05/03/24,5.383,5.407,5.365,5.386
