tic,sic
3CCIKO,6798
3FANIP,6111
7127B,6111
7128B,6111
A,3826
AA.3,3720
AA.P,3720
AABA,7370
AAI,4512
AAMRQ,4512
AAP,5531
AAPL,3663
AAR,4512
AB,6799
ABBNY,3613
ABEV,2082
ABKFQ,6351
ABKOQ,6351
ABT,3845
ABV,2082
ABX.,1040
ACAS,6797
ACC,6798
ACGL,6331
ACIIQ,1220
ACL.2,3851
ACN,8742
ACV.1,2844
ADBE,7370
ADEA,7372
ADI,3674
ADM,2070
ADM.PA,2070
ADP,7374
ADRE,6726
ADSK,7370
ADTN,3661
AEE,4931
AEM,1040
AEM.,1040
AEO,5600
AEP,4911
AEP.PA,4911
AES,4991
AET,6324
AF,6035
AFE,6331
AFFX,3826
AFG,6331
AFL,6321
AGCO,3523
AGG,6722
AGN,2834
AGN.2,2834
AGO,6351
AGP,6324
AGU,2870
AGU.,2870
AHL,6331
AHL.P,6331
AHL.PA,6331
AIBYY,6020
AIG,6331
AIG.PA.1,6331
AIR,5080
AIV,6798
AIV.PG,6798
AIV.PT,6798
AIV.PU,6798
AIV.PV,6798
AIV.PY,6798
AIZ,6351
AJG,6411
AKAM,7370
AKF,6351
AKS,3312
AKT,6351
ALB,2810
ALGN,3843
ALK,4512
ALL,6331
ALR.,2835
ALR.PB,2835
ALTO,2860
ALTR.1,3674
ALU,3661
ALV,3714
ALV.PZ,3714
ALXN,2836
AM.1,2771
AMAG,2834
AMAT,3559
AMB,6798
AMB.PL,6798
AMB.PM,6798
AMB.PO,6798
AMB.PP,6798
AMCC,3674
AMD,3674
AME,3823
AMED,8082
AMG,6282
AMGN,2836
AMKR,3674
AMLN,2834
AMMD,3842
AMOV,4812
AMP,6282
AMP.PA,6282
AMSC,3621
AMT,6798
AMTD.,6211
AMX,4812
AMZN,5961
AN,5500
ANAD,3674
ANDE,5150
ANDV,2911
ANF,5651
ANN,5621
ANRZQ,1220
ANSS,7372
AON,6411
AOS,3630
APA,1311
APC,1311
APD,2810
APH,3678
APOL,8200
ARB.1,8700
ARBA,7372
ARCB,4213
ARCC,6797
ARE,6798
ARE.PC,6798
ARE.PD,6798
ARG,5084
ARH.PA,6331
ARH.PB,6331
ARMH,6794
AROC,3533
AROPQ,5621
ARRS,3663
ARTC,3845
ARW,5065
ASB,6020
ASH,2820
ASIA.1,7372
ASML,3559
ASNAQ,5621
ATGE,8200
ATHR,3674
ATI,3350
ATLS.2,4922
ATML,3674
ATO,4924
ATPAQ,1311
ATR,3089
ATW,1381
AU.1,1040
AUOTY,3674
AUY,1040
AVB,6798
AVID,3861
AVP,2844
AVT,5065
AVY,2670
AXE,5065
AXL,3714
AXON,3480
AXP,6141
AXS,6331
AXS.PA,6331
AYE,4911
AYI,3640
AZN,2834
AZO,5531
BA,3721
BAC,6020
BAC.PD,6020
BAC.PE,6020
BAC.PH,6020
BAC.PI,6020
BAC.PJ,6020
BAC.PL,6020
BAC.PS.1,6020
BALL,3411
BAM.PH,6200
BAM.PR.E,6200
BAM.PR.G,6200
BAM.PR.I,6200
BAM.PR.J,6200
BAM.PR.L,6200
BAM.PR.O,6200
BAM.PR.P,6200
BAP,6020
BAX,3841
BB,7372
BB.,7372
BBBB,7372
BBBYQ,5700
BBD,6020
BBHYL,6726
BBL,1000
BBVA,6020
BBWI,5990
BBY,5731
BC,3510
BCE,4813
BCE.,4813
BCE.PR.A,4813
BCE.PR.B,4813
BCE.PR.C,4813
BCE.PR.D,4813
BCE.PR.E,4813
BCE.PR.F,4813
BCE.PR.G,4813
BCE.PR.H,4813
BCE.PR.I,4813
BCE.PR.R,4813
BCE.PR.S,4813
BCE.PR.T,4813
BCE.PR.Y,4813
BCE.PR.Z,4813
BCO,7381
BCR,3841
BCS,6020
BCSI,7370
BDC,3670
BDN,6798
BDN.PC,6798
BDN.PD,6798
BDX,3841
BEAM.2,2085
BEAM.PA,2085
BEAV,2531
BEBE,2330
BEC,3826
BEE,6798
BEE.PA,6798
BEE.PB,6798
BEE.PC,6798
BEL,7011
BEM,6211
BEN,6282
BEXP,1311
BEZ,3621
BF.A,2085
BF.B,2085
BFH,6141
BG,2040
BGC.1,3350
BGEPF,2040
BGGSQ,3510
BGPIQ,5940
BHC,2834
BHC.,2834
BHE,3672
BHI,1381
BHP,1000
BID,7389
BIDU,7370
BIG,5331
BJ.1,5399
BK,6020
BKD,8050
BKE,5651
BKNG,4700
BKS,5940
BLK,6282
BLUD,2835
BMC,7372
BML.PG,6020
BML.PH,6020
BML.PI,6020
BML.PJ,6020
BML.PL,6020
BML.PN,6020
BML.PO,6020
BML.PQ,6020
BMO,6020
BMO.,6020
BMO.PL,6020
BMO.PN,6020
BMO.PO,6020
BMO.PP,6020
BMO.PR.H,6020
BMO.PR.J,6020
BMO.PR.K,6020
BMO.PR.M,6020
BMR.1,6798
BMR.PA,6798
BMRN,2836
BMS,2670
BMY,2834
BMYMP,2834
BN,6200
BN.,6200
BN.PR.B,6200
BN.PR.C,6200
BN.PR.K,6200
BN.PR.M,6200
BN.PR.N,6200
BN.PR.R,6200
BNS,6020
BNS.,6020
BNS.PQ,6020
BNS.PR,6020
BNS.PR.J,6020
BNS.PR.K,6020
BNS.PR.L,6020
BNS.PR.M,6020
BNS.PR.N,6020
BNS.PR.O,6020
BNS.PR.P,6020
BNS.PS,6020
BNS.PT,6020
BNS.PX,6020
BOH,6020
BOOM,3533
BP,2911
BPAQF,2911
BPO,6512
BPO.,6512
BPO.PK,6512
BPO.PL,6512
BPO.PR.F,6512
BPO.PR.H,6512
BPO.PR.I,6512
BPO.PR.J,6512
BPOP,6020
BPOPO,6020
BPOPP,6020
BPT,6792
BPYU,6798
BRCD,3576
BRCM,3674
BRE,6798
BRE.PC,6798
BRE.PD,6798
BRK.A,9997
BRK.B,9997
BRO,6411
BRSWQ,4522
BRY.1,1311
BSX,3845
BTUUQ,1220
BUCY,3532
BVN,1040
BWA,3714
BWLD,5812
BXP,6798
BXS.PA.1,6020
BYD,7011
BYI,3990
BZH,1531
BZMD,1531
C,6199
C.PH,6199
C.PI,6199
C.PM,6199
C.PP,6199
CA.1,7372
CAA,1531
CACI,7373
CADE,6020
CAG,2000
CAH,5122
CAJPY,3577
CAKE,5812
CAM,3533
CAR,7510
CASY,5412
CAT,3531
CATY,6020
CB,6331
CB.1,6331
CBDBY,5411
CBE,3640
CBI,1600
CBL.PC,6798
CBLAQ,6798
CBLDQ,6798
CBRE,6531
CBRL,5812
CBSH,6020
CBT,2890
CCEP,2086
CCI,6798
CCJ,1090
CCK,3411
CCL,4400
CCO.,1090
CCZ,4841
CDE,1040
CDM.,1040
CDNS,7372
CDP,6798
CE,2860
CE.P,2860
CEB,8742
CEC,5812
CEDCQ,5180
CEF,6726
CEF.,6726
CEG.1,4931
CEG.PA,4931
CELG,2834
CELL.1,5065
CENX,3350
CERN,7373
CETV,4833
CF,2870
CFR,6020
CHD,2840
CHE,8082
CHH,6794
CHKAQ,1311
CHKLQ,1311
CHKP,7372
CHL,4812
CHRS.1,5621
CHRW,4213
CHS,5621
CHT,4813
CI,6324
CIB,6020
CIEN,3661
CIG,4911
CIG.C,4911
CINF,6331
CKH,4412
CL,2844
CLB,1389
CLC,3564
CLF,3310
CLGX,7374
CLH,4955
CLP,6798
CLP.PD,6798
CLX,2842
CM,6020
CM.,6020
CM.PK,6020
CM.PL,6020
CM.PM,6020
CM.PR.1,6020
CM.PR.D,6020
CM.PR.E,6020
CM.PR.G,6020
CM.PR.H,6020
CM.PR.I,6020
CM.PR.J,6020
CMA,6020
CMC,3312
CMCSA,4841
CMCSK,4841
CME,6200
CMEDQ,3826
CMI,3510
CMP,1400
CMPR,2750
CMS,4931
CMTL,3663
CMVT,7372
CNA,6331
CNC,6324
CNH.2,3523
CNI,4011
CNL,4911
CNO,6321
CNP,4931
CNQ,1311
CNQ.,1311
CNQR,7372
CNR,3448
CNR.,4011
CNVR,7370
CNW,4210
CNX,1311
CNXT.1,3674
COCOQ,9995
COF,6141
COF.WS,6141
COL,3728
COLB,6020
COLM,2300
COO,3851
COP,1311
COR,5122
COST,5399
CP,4011
CP.,4011
CPA,4512
CPB,2030
CPHD,3826
CPPRQ,5311
CPRT,5010
CPT,6798
CPWR.1,7372
CQB,100
CR,3490
CRDN,3290
CRI,2300
CRK.5,1311
CRL,8731
CRM,7372
CRRTQ,3290
CRS,3312
CRUS,3674
CRZO,1311
CS,6211
CSCO,3576
CSE,6159
CSH.1,5900
CSL,2950
CSX,4011
CTA.PA,2820
CTA.PB,2820
CTAS,7200
CTB,3011
CTRA,1311
CTSH,7370
CTV.2,3357
CTXS,7372
CUK,4400
CUZ,6798
CUZ.PA,6798
CUZ.PB,6798
CVA,4950
CVC,4841
CVD,8731
CVG,7389
CVH,6324
CVS,8000
CVX,2911
CW,3728
CWH.PB,6798
CWH.PC,6798
CWTRQ,5621
CX,3241
CXW,6512
CY,3674
CYH,8062
CYMI,3559
CYN.1,6020
CYT.1,2890
D,4911
DB,6020
DBDQQ,3578
DCI,3714
DD,2820
DD.2,2820
DDR.PG,6798
DDR.PH,6798
DDR.PI,6798
DDS,5311
DE,3523
DECK,3021
DELL.1,3571
DEO,2085
DFODQ,2020
DGX,8071
DHC,6798
DHI,1531
DHOXY,6552
DHR,3826
DIA,6726
DIN,6794
DINO,2911
DIOD,3674
DIS,4888
DISCB,4841
DISCK,4841
DISH,4841
DKS,5940
DLB,6794
DLM,2040
DLR,6798
DLR.PA,6798
DLR.PB,6798
DLTR,5331
DLX,2780
DNB.1,7323
DNRCQ,1311
DOC,6798
DOFSQ,1381
DOV,3559
DOX,7370
DPL,4911
DPTRQ,2911
DRC,3510
DRE,6798
DRE.PJ,6798
DRE.PK,6798
DRE.PL,6798
DRE.PM,6798
DRE.PN,6798
DRE.PO,6798
DRH,6798
DRI,5812
DRIV.1,5045
DRQ,3533
DRYS,4412
DST,7374
DSX,4412
DTE,4931
DTGF,7510
DTV.2,4841
DUK,4931
DVA,8090
DVN,1311
DVY,6722
DWA,7812
DXC,7370
DYNIQ,1311
